Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
2,True,SKINS,1134,D,4338,172,1997-05-01,,,
2,True,SKINS,1134,E,4311,172,1997-05-01,,,
2,True,SKINS,1134,E,4313,172,1997-05-01,,,
2,True,SKINS,1134,E,4314,172,1997-05-01,,,
2,True,SKINS,1134,E,4315,172,1997-05-01,,,
2,True,SKINS,1134,E,4319,172,1997-05-01,,,
2,True,SKINS,1134,E,4320,172,1997-05-01,,,
2,True,SKINS,1134,E,4321,172,1997-05-01,,,
2,True,SKINS,1134,E,4323,172,1997-05-01,,,
2,True,SKINS,11105,E,117717,172,1997-05-01,,,
2,True,SKINS,11105,E,117723,172,1997-05-01,,,
2,True,SKINS,11105,E,117747,172,1997-05-01,,,
2,True,SKINS,11114,E,118016,172,1997-05-01,,,
2,True,SKINS,11116,E,118044,172,1997-05-01,,,
2,True,SKINS,11119,E,118068,172,1997-05-01,,,
2,True,SKINS,11120,E,118787,172,1997-05-01,,,
2,True,SKINS,11120,E,118790,172,1997-05-01,,,
2,True,SKINS,11120,E,118792,172,1997-05-01,,,
2,True,SKINS,11120,E,118793,172,1997-05-01,,,
2,True,SKINS,11120,E,118796,172,1997-05-01,,,
2,True,SKINS,11120,E,118806,172,1997-05-01,,,
2,True,SKINS,11120,E,118821,172,1997-05-01,,,
2,True,SKINS,11120,E,118835,172,1997-05-01,,,
2,True,SKINS,11120,E,118839,172,1997-05-01,,,
2,True,SKINS,11120,E,118850,172,1997-05-01,,,
2,True,SKINS,11120,E,118864,172,1997-05-01,,,
2,True,SKINS,11120,E,118883,172,1997-05-01,,,
2,True,SKINS,11120,E,118887,172,1997-05-01,,,
2,True,SKINS,11120,E,118900,172,1997-05-01,,,
2,True,SKINS,11120,E,118917,172,1997-05-01,,,
2,True,SKINS,11120,E,118931,172,1997-05-01,,,
2,True,SKINS,11120,E,118952,172,1997-05-01,,,
2,True,SKINS,11120,E,118973,172,1997-05-01,,,
2,True,SKINS,11120,E,118988,172,1997-05-01,,,
2,True,SKINS,11120,E,118996,172,1997-05-01,,,
2,True,SKINS,11120,E,119093,172,1997-05-01,,,
2,True,SKINS,11120,E,119143,172,1997-05-01,,,
2,True,SKINS,11120,E,119165,172,1997-05-01,,,
2,True,SKINS,11120,E,119181,172,1997-05-01,,,
2,True,SKINS,11120,E,119183,172,1997-05-01,,,
2,True,SKINS,11120,E,119195,172,1997-05-01,,,
2,True,SKINS,11120,E,119203,172,1997-05-01,,,
2,True,SKINS,11120,E,119205,172,1997-05-01,,,
2,True,SKINS,11120,E,119231,172,1997-05-01,,,
2,True,SKINS,11120,E,119247,172,1997-05-01,,,
2,True,SKINS,11120,E,119273,172,1997-05-01,,,
2,True,SKINS,11120,E,119289,172,1997-05-01,,,
2,True,SKINS,11120,E,119290,172,1997-05-01,,,
2,True,SKINS,11121,E,119358,172,1997-05-01,,,
2,True,SKINS,11121,E,119382,172,1997-05-01,,,
2,True,SKINS,11121,E,119416,172,1997-05-01,,,
2,True,SKINS,11121,E,119429,172,1997-05-01,,,
2,True,SKINS,11121,E,119592,172,1997-05-01,,,
2,True,SKINS,11121,E,119663,172,1997-05-01,,,
2,True,SKINS,11121,E,119900,172,1997-05-01,,,
2,True,SKINS,11121,E,119917,172,1997-05-01,,,
2,True,SKINS,11121,E,120041,172,1997-05-01,,,
2,True,SKINS,11121,E,120463,172,1997-05-01,,,
