Accession,Code,Catalog,Section,Page,Filename,Method
11105,E,117747,SKINS,2,scanDE0001.jpg,Standard
11114,E,118016,SKINS,2,scanDE0001.jpg,Standard
11116,E,118044,SKINS,2,scanDE0001.jpg,Standard
11119,E,118068,SKINS,2,scanDE0001.jpg,Standard
11120,E,118787,SKINS,2,scanDE0001.jpg,Standard
11120,E,118790,SKINS,2,scanDE0001.jpg,Standard
11120,E,118792,SKINS,2,scanDE0001.jpg,Standard
11120,E,118793,SKINS,2,scanDE0001.jpg,Standard
11120,E,118796,SKINS,2,scanDE0001.jpg,Standard
11120,E,118806,SKINS,2,scanDE0001.jpg,Standard
11120,E,118821,SKINS,2,scanDE0001.jpg,Standard
11120,E,118835,SKINS,2,scanDE0001.jpg,Standard
11120,E,118839,SKINS,2,scanDE0001.jpg,Standard
11120,E,118850,SKINS,2,scanDE0001.jpg,Standard
11120,E,118864,SKINS,2,scanDE0001.jpg,Standard
11120,E,118883,SKINS,2,scanDE0001.jpg,Standard
11120,E,118887,SKINS,2,scanDE0001.jpg,Standard
11120,E,118900,SKINS,2,scanDE0001.jpg,Standard
11120,E,118917,SKINS,2,scanDE0001.jpg,Standard
11120,E,118931,SKINS,2,scanDE0001.jpg,Standard
11120,E,118952,SKINS,2,scanDE0001.jpg,Standard
11120,E,118973,SKINS,2,scanDE0001.jpg,Standard
11120,E,118988,SKINS,2,scanDE0001.jpg,Standard
11120,E,118996,SKINS,2,scanDE0001.jpg,Standard
11120,E,119093,SKINS,2,scanDE0001.jpg,Standard
11120,E,119143,SKINS,2,scanDE0001.jpg,Standard
11120,E,119165,SKINS,2,scanDE0001.jpg,Standard
11120,E,119181,SKINS,2,scanDE0001.jpg,Standard
11120,E,119183,SKINS,2,scanDE0001.jpg,Standard
11120,E,119195,SKINS,2,scanDE0001.jpg,Standard
11120,E,119203,SKINS,2,scanDE0001.jpg,Standard
11120,E,119205,SKINS,2,scanDE0001.jpg,Standard
11120,E,119231,SKINS,2,scanDE0001.jpg,Standard
11120,E,119247,SKINS,2,scanDE0001.jpg,Standard
11120,E,119273,SKINS,2,scanDE0001.jpg,Standard
11120,E,119289,SKINS,2,scanDE0001.jpg,Standard
11120,E,119290,SKINS,2,scanDE0001.jpg,Standard
11121,E,119358,SKINS,2,scanDE0001.jpg,Standard
11121,E,119382,SKINS,2,scanDE0001.jpg,Standard
11121,E,119416,SKINS,2,scanDE0001.jpg,Standard
11121,E,119429,SKINS,2,scanDE0001.jpg,Standard
11121,E,119592,SKINS,2,scanDE0001.jpg,Standard
11121,E,119663,SKINS,2,scanDE0001.jpg,Standard
11121,E,119900,SKINS,2,scanDE0001.jpg,Standard
11121,E,119917,SKINS,2,scanDE0001.jpg,Standard
11121,E,120041,SKINS,2,scanDE0001.jpg,Standard
11121,E,120463,SKINS,2,scanDE0001.jpg,Standard
11121,E,120487,SKINS,2,scanDE0001.jpg,Standard
11121,E,120543,SKINS,2,scanDE0001.jpg,Standard
11192,E,120611,SKINS,2,scanDE0001.jpg,Standard
11202,E,120622,SKINS,2,scanDE0001.jpg,Standard
11202,E,120623,SKINS,2,scanDE0001.jpg,Standard
11202,E,120624,SKINS,2,scanDE0001.jpg,Standard
11202,E,120625,SKINS,2,scanDE0001.jpg,Standard
11202,E,120626,SKINS,2,scanDE0001.jpg,Standard
11202,E,120627,SKINS,2,scanDE0001.jpg,Standard
11202,E,120629,SKINS,2,scanDE0001.jpg,Standard
11202,E.,120630,SKINS,2,scanDE0001.jpg,Standard
11202,E,120631,SKINS,2,scanDE0001.jpg,Standard
11202,E,120632,SKINS,2,scanDE0001.jpg,Standard
11202,E,120633,SKINS,2,scanDE0001.jpg,Standard
11202,E,120634,SKINS,2,scanDE0001.jpg,Standard
11202,E,120635,SKINS,2,scanDE0001.jpg,Standard
11202,E,120636,SKINS,2,scanDE0001.jpg,Standard
11202,E,120637,SKINS,2,scanDE0001.jpg,Standard
11202,E,120638,SKINS,2,scanDE0001.jpg,Standard
11202,E,120640,SKINS,2,scanDE0001.jpg,Standard
11202,E,120641,SKINS,2,scanDE0001.jpg,Standard
11202,E,120642,SKINS,2,scanDE0001.jpg,Standard
11202,E,120643,SKINS,2,scanDE0001.jpg,Standard
11202,E,120644,SKINS,2,scanDE0001.jpg,Standard
11202,E,120645,SKINS,2,scanDE0001.jpg,Standard
11202,E,120646,SKINS,2,scanDE0001.jpg,Standard
11202,E,120647,SKINS,2,scanDE0001.jpg,Standard
11202,E,120648,SKINS,2,scanDE0001.jpg,Standard
11202,E,120649,SKINS,2,scanDE0001.jpg,Standard
11202,E,120650,SKINS,2,scanDE0001.jpg,Standard
11202,E,120651,SKINS,2,scanDE0001.jpg,Standard
11202,E,120652,SKINS,2,scanDE0001.jpg,Standard
11202,E,120653,SKINS,2,scanDE0001.jpg,Standard
11202,E.,120654,SKINS,2,scanDE0001.jpg,Standard
11202,E,120655,SKINS,2,scanDE0001.jpg,Standard
11202,E,120656,SKINS,2,scanDE0001.jpg,Standard
11202,E,120657,SKINS,2,scanDE0001.jpg,Standard
11202,E,120658,SKINS,2,scanDE0001.jpg,Standard
11202,E,120659,SKINS,2,scanDE0001.jpg,Standard
11202,E,120660,SKINS,2,scanDE0001.jpg,Standard
11202,E,120661,SKINS,2,scanDE0001.jpg,Standard
11202,E,120662,SKINS,2,scanDE0001.jpg,Standard
11202,E,120663,SKINS,2,scanDE0001.jpg,Standard
11202,E,120664,SKINS,2,scanDE0001.jpg,Standard
1202,E,120665,SKINS,2,scanDE0001.jpg,Standard
1202,E,120666,SKINS,2,scanDE0001.jpg,Standard
1202,E,120667,SKINS,2,scanDE0001.jpg,Standard
1202,E,120668,SKINS,2,scanDE0001.jpg,Standard
1202,E,120669,SKINS,2,scanDE0001.jpg,Standard
1202,E,120670,SKINS,2,scanDE0001.jpg,Standard
1202,E,120671,SKINS,2,scanDE0001.jpg,Standard
1202,E,120672,SKINS,2,scanDE0001.jpg,Standard
1202,E,120673,SKINS,2,scanDE0001.jpg,Standard
1202,E,120674,SKINS,2,scanDE0001.jpg,Standard
1202,E,120675,SKINS,2,scanDE0001.jpg,Standard
1202,E,120676,SKINS,2,scanDE0001.jpg,Standard
1202,E,120677,SKINS,2,scanDE0001.jpg,Standard
1202,E,120678,SKINS,2,scanDE0001.jpg,Standard
1202,E,120679,SKINS,2,scanDE0001.jpg,Standard
1202,E,120680,SKINS,2,scanDE0001.jpg,Standard
1202,E,120681,SKINS,2,scanDE0001.jpg,Standard
1202,E,120682,SKINS,2,scanDE0001.jpg,Standard
1202,E,120683,SKINS,2,scanDE0001.jpg,Standard
1202,E,120684,SKINS,2,scanDE0001.jpg,Standard
1202,E,120685,SKINS,2,scanDE0001.jpg,Standard
1202,E,120686,SKINS,2,scanDE0001.jpg,Standard
1123,E,3973,SKINS,2,scanDE0001.jpg,Standard
1123,E,3977,SKINS,2,scanDE0001.jpg,Standard
1123,E,3978,SKINS,2,scanDE0001.jpg,Standard
1123,E,3979,SKINS,2,scanDE0001.jpg,Standard
1123,E,3981,SKINS,2,scanDE0001.jpg,Standard
1123,E,3986,SKINS,2,scanDE0001.jpg,Standard
1123,E,3987,SKINS,2,scanDE0001.jpg,Standard
1123,E,3992,SKINS,2,scanDE0001.jpg,Standard
1123,E,3993,SKINS,2,scanDE0001.jpg,Standard
1123,E,4,SKINS,2,scanDE0001.jpg,Standard
1123,E,4018,SKINS,2,scanDE0001.jpg,Standard
1123,E,4024,SKINS,2,scanDE0001.jpg,Standard
1123,E,4025,SKINS,2,scanDE0001.jpg,Standard
1127,E,4028,SKINS,2,scanDE0001.jpg,Standard
1127,E,4138,SKINS,2,scanDE0001.jpg,Standard
1129,E,4195,SKINS,2,scanDE0001.jpg,Standard
1129,E,4197,SKINS,2,scanDE0001.jpg,Standard
1129,E,4213,SKINS,2,scanDE0001.jpg,Standard
1129,E,4216,SKINS,2,scanDE0001.jpg,Standard
1129,E,4235,SKINS,2,scanDE0001.jpg,Standard
1311,D,120696,SKINS,2,scanDE0001.jpg,Standard
311,E,120698,SKINS,2,scanDE0001.jpg,Standard
1134,D,4338,SKINS,2,scanDE0001.jpg,Standard
134,E,4314,SKINS,2,scanDE0001.jpg,Standard
134,E,4315,SKINS,2,scanDE0001.jpg,Standard
134,E,4319,SKINS,2,scanDE0001.jpg,Standard
134,E,4320,SKINS,2,scanDE0001.jpg,Standard
134,E,4,SKINS,2,scanDE0001.jpg,Standard
134,E,4323,SKINS,2,scanDE0001.jpg,Standard
1134,E,4,SKINS,3,scanDE0002.jpg,Standard
1134,E,4325,SKINS,3,scanDE0002.jpg,Standard
1134,E,4326,SKINS,3,scanDE0002.jpg,Standard
1134,E,4327,SKINS,3,scanDE0002.jpg,Standard
1134,E,4328,SKINS,3,scanDE0002.jpg,Standard
1134,E,4329,SKINS,3,scanDE0002.jpg,Standard
1134,E,4333,SKINS,3,scanDE0002.jpg,Standard
1134,E,4334,SKINS,3,scanDE0002.jpg,Standard
1134,E,4335,SKINS,3,scanDE0002.jpg,Standard
1134,E,4337,SKINS,3,scanDE0002.jpg,Standard
1134,E,4346,SKINS,3,scanDE0002.jpg,Standard
1134,E,4347,SKINS,3,scanDE0002.jpg,Standard
1134,G,4343,SKINS,3,scanDE0002.jpg,Standard
115,D,210,SKINS,3,scanDE0002.jpg,Standard
115,D,211,SKINS,3,scanDE0002.jpg,Standard
115,D,212,SKINS,3,scanDE0002.jpg,Standard
115,D,213,SKINS,3,scanDE0002.jpg,Standard
115,D,218,SKINS,3,scanDE0002.jpg,Standard
115,D,219,SKINS,3,scanDE0002.jpg,Standard
115,D,225,SKINS,3,scanDE0002.jpg,Standard
115,D,227,SKINS,3,scanDE0002.jpg,Standard
115,D,228,SKINS,3,scanDE0002.jpg,Standard
115,D,229,SKINS,3,scanDE0002.jpg,Standard
115,D,232,SKINS,3,scanDE0002.jpg,Standard
115,E,214,SKINS,3,scanDE0002.jpg,Standard
115,E,216,SKINS,3,scanDE0002.jpg,Standard
115,G,220,SKINS,3,scanDE0002.jpg,Standard
115,G,221,SKINS,3,scanDE0002.jpg,Standard
115,G,233,SKINS,3,scanDE0002.jpg,Standard
11549,E,120754,SKINS,3,scanDE0002.jpg,Standard
11549,E,120807,SKINS,3,scanDE0002.jpg,Standard
11549,E,120825,SKINS,3,scanDE0002.jpg,Standard
11549,E,120827,SKINS,3,scanDE0002.jpg,Standard
11550,E,120904,SKINS,3,scanDE0002.jpg,Standard
11550,E,120905,SKINS,3,scanDE0002.jpg,Standard
11550,E,120906,SKINS,3,scanDE0002.jpg,Standard
11550,E,120907,SKINS,3,scanDE0002.jpg,Standard
11550,E,120908,SKINS,3,scanDE0002.jpg,Standard
11550,E,120909,SKINS,3,scanDE0002.jpg,Standard
11550,E,120910,SKINS,3,scanDE0002.jpg,Standard
11550,E,120911,SKINS,3,scanDE0002.jpg,Standard
11550,E,120912,SKINS,3,scanDE0002.jpg,Standard
11550,E,120913,SKINS,3,scanDE0002.jpg,Standard
11550,E,120914,SKINS,3,scanDE0002.jpg,Standard
11550,E,120915,SKINS,3,scanDE0002.jpg,Standard
11550,E,120916,SKINS,3,scanDE0002.jpg,Standard
11550,E,120917,SKINS,3,scanDE0002.jpg,Standard
11550,E,120918,SKINS,3,scanDE0002.jpg,Standard
11550,E,120919,SKINS,3,scanDE0002.jpg,Standard
11550,E,120920,SKINS,3,scanDE0002.jpg,Standard
11550,E,120921,SKINS,3,scanDE0002.jpg,Standard
11550,E,120922,SKINS,3,scanDE0002.jpg,Standard
11550,E,120923,SKINS,3,scanDE0002.jpg,Standard
11550,E,120924,SKINS,3,scanDE0002.jpg,Standard
11550,E,120925,SKINS,3,scanDE0002.jpg,Standard
11550,E,120926,SKINS,3,scanDE0002.jpg,Standard
11550,E,120927,SKINS,3,scanDE0002.jpg,Standard
11550,E,120928,SKINS,3,scanDE0002.jpg,Standard
11550,E,120929,SKINS,3,scanDE0002.jpg,Standard
11550,E,120930,SKINS,3,scanDE0002.jpg,Standard
11550,E,120931,SKINS,3,scanDE0002.jpg,Standard
11550,E,120932,SKINS,3,scanDE0002.jpg,Standard
11550,E,120933,SKINS,3,scanDE0002.jpg,Standard
11550,E.,120934,SKINS,3,scanDE0002.jpg,Standard
11550,E,120935,SKINS,3,scanDE0002.jpg,Standard
11550,E,120936,SKINS,3,scanDE0002.jpg,Standard
11550,E,120937,SKINS,3,scanDE0002.jpg,Standard
11550,E,120938,SKINS,3,scanDE0002.jpg,Standard
11550,E,120939,SKINS,3,scanDE0002.jpg,Standard
11550,E,120940,SKINS,3,scanDE0002.jpg,Standard
11550,E,120942,SKINS,3,scanDE0002.jpg,Standard
11550,E,120943,SKINS,3,scanDE0002.jpg,Standard
11550,E,120944,SKINS,3,scanDE0002.jpg,Standard
11550,E,120945,SKINS,3,scanDE0002.jpg,Standard
11550,E,120946,SKINS,3,scanDE0002.jpg,Standard
11550,E,120947,SKINS,3,scanDE0002.jpg,Standard
11550,E,120948,SKINS,3,scanDE0002.jpg,Standard
11550,E,120949,SKINS,3,scanDE0002.jpg,Standard
11550,E,120950,SKINS,3,scanDE0002.jpg,Standard
11550,E,120951,SKINS,3,scanDE0002.jpg,Standard
11550,E,120952,SKINS,3,scanDE0002.jpg,Standard
11550,E,120953,SKINS,3,scanDE0002.jpg,Standard
11550,E,120954,SKINS,3,scanDE0002.jpg,Standard
11550,E,120955,SKINS,3,scanDE0002.jpg,Standard
11550,E,120956,SKINS,3,scanDE0002.jpg,Standard
11550,E,120957,SKINS,3,scanDE0002.jpg,Standard
11550,E,120958,SKINS,3,scanDE0002.jpg,Standard
11550,E,120959,SKINS,3,scanDE0002.jpg,Standard
11550,E,120960,SKINS,3,scanDE0002.jpg,Standard
11550,E,120961,SKINS,3,scanDE0002.jpg,Standard
11550,E,120962,SKINS,3,scanDE0002.jpg,Standard
